node_id,latitude,longitude
6191847976,-5.5400933,105.4249311
6191848389,-5.5382096,105.4265951
6191848393,-5.5370977,105.4259572
6191848443,-5.5319411,105.4281816
6191848444,-5.5329544,105.4278598
6191848452,-5.5307558,105.429282
6191848453,-5.5304661,105.4290265
6191848454,-5.5327507,105.4270804
6191848477,-5.5328852,105.4414869
6191848479,-5.5415437,105.4454274
6191848480,-5.5338423,105.4382505
6191848595,-5.5449044,105.4385977
6194065311,-5.4749495,105.3846267
6194627678,-5.5308826,105.4284887
6200101087,-5.4961285,105.3794217
6200101122,-5.505553,105.3745562
6200503001,-5.5341757,105.4322036
6200503014,-5.5316101,105.4290882
6200503015,-5.5303727,105.4298043
6200555564,-5.5351221,105.4250327
6200555565,-5.5355353,105.426413
6200555566,-5.5342344,105.4255503
6200555571,-5.5347016,105.4273635
6200555754,-5.5346976,105.4262719
6200555758,-5.5352856,105.4264616
6200555759,-5.5353463,105.42711
6206759236,-5.5097527,105.4957464
6206759245,-5.5066584,105.4919913
6207090205,-5.5487815,105.3920093
6207090207,-5.5485465,105.3921944
6207090216,-5.5485732,105.3941967
6207090559,-5.5455258,105.3944555
6207090574,-5.5485064,105.3950845
6207090584,-5.5483636,105.39581
6219921272,-5.5347336,105.4391304
6219921277,-5.5335652,105.4390229
6219921414,-5.5346975,105.4383115
6219921425,-5.5341623,105.4369658
6232729159,-5.5326253,105.442848
6232729160,-5.5328959,105.4414372
6232729164,-5.5330437,105.4427084
6232729169,-5.5331805,105.4415558
6232729170,-5.5332713,105.4415987
6232729179,-5.5335269,105.4413056
6232729180,-5.5333174,105.4409355
6232729182,-5.5330798,105.440665
6232729183,-5.5329843,105.4410523
6232729288,-5.53387,105.4408497
6232729289,-5.5342718,105.4405949
6232729290,-5.5339514,105.4409945
6232729291,-5.5343519,105.4407491
6232729292,-5.5337712,105.4406941
6232729293,-5.5341516,105.4404205
6232729565,-5.5340275,105.4377235
6232729569,-5.5332813,105.4376082
6232729570,-5.5329983,105.4372072
6232729574,-5.5340942,105.4373789
6232729755,-5.5342302,105.4358093
6232729758,-5.5333481,105.4356918
6232729779,-5.5343412,105.4330498
6232729782,-5.5350059,105.4329921
6235286295,-5.5317736,105.4429123
6240898820,-5.5564499,105.4583618
6240898821,-5.5553688,105.4584704
6240898825,-5.5554582,105.4578427
6240898832,-5.5556057,105.4583585
6240898847,-5.5565607,105.4577248
6240898881,-5.5706828,105.4661965
6240898883,-5.5706014,105.4645993
6240916896,-5.5587871,105.448527
6241100502,-5.5461572,105.4308933
6241100504,-5.5460985,105.4318052
6241100510,-5.542624,105.4323121
6241116176,-5.5475821,105.4453411
6241298361,-5.5486984,105.3954526
6241298362,-5.5498146,105.3935194
6241299167,-5.5352355,105.3818303
6241299168,-5.5317729,105.3808165
6241299174,-5.5311829,105.3824312
6241299184,-5.528592,105.3838353
6241299285,-5.5487681,105.3875971
6241299302,-5.5464402,105.3899279
6241299305,-5.5469794,105.3903276
6241299316,-5.5406937,105.3982575
6241299351,-5.5404348,105.3995068
6241299365,-5.5402586,105.39868
6241299367,-5.5405305,105.3983715
6241299368,-5.5401237,105.3975655
6241299376,-5.5402879,105.3986317
6241299501,-5.5352449,105.3935851
6241299504,-5.5346482,105.3929776
6243764816,-5.5284117,105.4578254
6243764820,-5.5270755,105.4567096
6243764827,-5.5274526,105.4562704
6243764847,-5.5285486,105.4562499
6243764851,-5.5267405,105.4559921
6243764852,-5.526579,105.4563233
6243764856,-5.5257314,105.4565727
6243764860,-5.5262546,105.4569805
6243764862,-5.5267755,105.4574717
6243764868,-5.5262815,105.4583286
6243764872,-5.526643,105.4590109
6243764874,-5.5260692,105.458894
6243764876,-5.5265403,105.4593971
6243764878,-5.5258325,105.4591956
6243764879,-5.5270048,105.4598397
6243764882,-5.525576,105.4594367
6243764883,-5.5259956,105.4603681
6243764985,-5.5252444,105.4597753
6243764986,-5.5231176,105.4603922
6243764990,-5.5232437,105.459577
6243764991,-5.5242843,105.4580158
6243764994,-5.5240012,105.4597252
6243764995,-5.5211153,105.4601884
6243764998,-5.5210672,105.4595048
6243764999,-5.5167409,105.4624575
6243765002,-5.5165192,105.4615677
6243765003,-5.5084552,105.4659069
6243765004,-5.5084659,105.466402
6243765005,-5.5079692,105.4658076
6243765007,-5.5079691,105.4664234
6243765047,-5.5085059,105.4688305
6243765064,-5.5093228,105.4663226
6243765114,-5.5243751,105.4490384
6243765115,-5.5244231,105.4493415
6243765116,-5.5236829,105.4489251
6243765118,-5.5236836,105.4491886
6243765119,-5.5236943,105.4494837
6243765125,-5.5241068,105.4507497
6243765126,-5.5204132,105.4505258
6243765130,-5.5201397,105.4515769
6243765131,-5.519434,105.4499088
6243765135,-5.5190336,105.451063
6243765136,-5.5187526,105.450629
6243765138,-5.51867,105.4509149
6243765139,-5.5179396,105.4510689
6243765141,-5.5180398,105.4506732
6243765154,-5.5163485,105.451266
6243765157,-5.5165888,105.4503212
6243765161,-5.51584,105.4502362
6243765162,-5.5124806,105.4539891
6243765175,-5.5113511,105.4506997
6243765184,-5.508941,105.4507831
